YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W52,PL,942233,,,0,,0,0,0,PL52,ALL,AZ,37958138
2020-W52,PL,112466,,,0,,0,0,0,PL71,Age0_4,MOD,37958138
2020-W52,PL,104514,,,0,,0,0,0,PL82,Age0_4,AZ,37958138
2020-W52,PL,77089,,,0,,0,0,0,PL42,Age0_4,COM,37958138
2020-W52,PL,67332,,,0,,0,0,0,PL62,Age0_4,MOD,37958138
2020-W52,PL,52712,,,0,,0,0,0,PL72,Age0_4,JANSS,37958138
2020-W52,PL,43163,,,0,,0,0,0,PL52,Age0_4,COM,37958138
2020-W52,PL,138040,,,0,,0,0,0,PL51,Age0_4,AZ,37958138
2020-W52,PL,43163,,,0,,0,0,0,PL52,Age0_4,AZ,37958138
2020-W52,PL,48026,,,0,,0,0,0,PL43,Age0_4,COM,37958138
2020-W52,PL,1921497,,,0,,0,0,0,PL,Age0_4,COM,37958138
2020-W52,PL,212149,,,0,,0,0,0,PL22,Age0_4,COM,37958138
2020-W52,PL,112466,,,0,,0,0,0,PL71,Age0_4,COM,37958138
2020-W52,PL,52712,,,0,,0,0,0,PL72,Age0_4,MOD,37958138
2020-W52,PL,57459,,,0,,0,0,0,PL84,Age0_4,MOD,37958138
2020-W52,PL,1921497,,,0,,0,0,0,PL,Age0_4,JANSS,37958138
2020-W52,PL,77089,,,0,,0,0,0,PL42,Age0_4,JANSS,37958138
2020-W52,PL,212149,,,0,,0,0,0,PL22,Age0_4,AZ,37958138
2020-W52,PL,98408,,,0,,0,0,0,PL81,Age0_4,AZ,37958138
2020-W52,PL,212149,,,0,,0,0,0,PL22,Age0_4,JANSS,37958138
2020-W52,PL,191571,,,0,,0,0,0,PL41,Age0_4,AZ,37958138
2020-W52,PL,67332,,,0,,0,0,0,PL62,Age0_4,COM,37958138
2020-W52,PL,98667,,,0,,0,0,0,PL61,Age0_4,JANSS,37958138
2020-W52,PL,191571,,,0,,0,0,0,PL41,Age0_4,MOD,37958138
2020-W52,PL,48026,,,0,,0,0,0,PL43,Age0_4,AZ,37958138
2020-W52,PL,104514,,,0,,0,0,0,PL82,Age0_4,COM,37958138
2020-W52,PL,52712,,,0,,0,0,0,PL72,Age0_4,COM,37958138
2020-W52,PL,131925,,,0,,0,0,0,PL63,Age0_4,COM,37958138
2020-W52,PL,77089,,,0,,0,0,0,PL42,Age0_4,MOD,37958138
2020-W52,PL,57459,,,0,,0,0,0,PL84,Age0_4,AZ,37958138
2020-W52,PL,112466,,,0,,0,0,0,PL71,Age0_4,JANSS,37958138
2020-W52,PL,131925,,,0,,0,0,0,PL63,Age0_4,MOD,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age0_4,AZ,37958138
2020-W52,PL,131925,,,0,,0,0,0,PL63,Age0_4,AZ,37958138
2020-W52,PL,1921497,,,0,,0,0,0,PL,Age0_4,MOD,37958138
2020-W52,PL,43163,,,0,,0,0,0,PL52,Age0_4,JANSS,37958138
2020-W52,PL,98408,,,0,,0,0,0,PL81,Age0_4,JANSS,37958138
2020-W52,PL,138040,,,0,,0,0,0,PL51,Age0_4,MOD,37958138
2020-W52,PL,131925,,,0,,0,0,0,PL63,Age0_4,JANSS,37958138
2020-W52,PL,186063,,,0,,0,0,0,PL21,Age0_4,MOD,37958138
2020-W52,PL,186063,,,0,,0,0,0,PL21,Age0_4,JANSS,37958138
2020-W52,PL,138040,,,0,,0,0,0,PL51,Age0_4,COM,37958138
2020-W52,PL,98667,,,0,,0,0,0,PL61,Age0_4,MOD,37958138
2020-W52,PL,67332,,,0,,0,0,0,PL62,Age0_4,JANSS,37958138
2020-W52,PL,1921497,,,0,,0,0,0,PL,Age0_4,AZ,37958138
2020-W52,PL,57459,,,0,,0,0,0,PL84,Age0_4,JANSS,37958138
2020-W52,PL,48026,,,0,,0,0,0,PL43,Age0_4,MOD,37958138
2020-W52,PL,43163,,,0,,0,0,0,PL52,Age0_4,MOD,37958138
2020-W52,PL,48026,,,0,,0,0,0,PL43,Age0_4,JANSS,37958138
2020-W52,PL,57459,,,0,,0,0,0,PL84,Age0_4,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age0_4,JANSS,37958138
2020-W52,PL,191571,,,0,,0,0,0,PL41,Age0_4,JANSS,37958138
2020-W52,PL,191571,,,0,,0,0,0,PL41,Age0_4,COM,37958138
2020-W52,PL,52712,,,0,,0,0,0,PL72,Age0_4,AZ,37958138
2020-W52,PL,112466,,,0,,0,0,0,PL71,Age0_4,AZ,37958138
2020-W52,PL,98408,,,0,,0,0,0,PL81,Age0_4,COM,37958138
2020-W52,PL,98408,,,0,,0,0,0,PL81,Age0_4,MOD,37958138
2020-W52,PL,138040,,,0,,0,0,0,PL51,Age0_4,JANSS,37958138
2020-W52,PL,186063,,,0,,0,0,0,PL21,Age0_4,AZ,37958138
2020-W52,PL,98667,,,0,,0,0,0,PL61,Age0_4,AZ,37958138
2020-W52,PL,186063,,,0,,0,0,0,PL21,Age0_4,COM,37958138
2020-W52,PL,77089,,,0,,0,0,0,PL42,Age0_4,AZ,37958138
2020-W52,PL,98667,,,0,,0,0,0,PL61,Age0_4,COM,37958138
2020-W52,PL,67332,,,0,,0,0,0,PL62,Age0_4,AZ,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age0_4,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age0_4,MOD,37958138
2020-W52,PL,212149,,,0,,0,0,0,PL22,Age0_4,MOD,37958138
2020-W52,PL,104514,,,0,,0,0,0,PL82,Age0_4,JANSS,37958138
2020-W52,PL,104514,,,0,,0,0,0,PL82,Age0_4,MOD,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age10_14,COM,37958138
2020-W52,PL,44821,,,0,,0,0,0,PL52,Age10_14,JANSS,37958138
2020-W52,PL,110501,,,0,,0,0,0,PL61,Age10_14,MOD,37958138
2020-W52,PL,132055,,,0,,0,0,0,PL63,Age10_14,COM,37958138
2020-W52,PL,44821,,,0,,0,0,0,PL52,Age10_14,COM,37958138
2020-W52,PL,121363,,,0,,0,0,0,PL71,Age10_14,MOD,37958138
2020-W52,PL,1998280,,,0,,0,0,0,PL,Age10_14,COM,37958138
2020-W52,PL,221340,,,0,,0,0,0,PL22,Age10_14,JANSS,37958138
2020-W52,PL,76810,,,0,,0,0,0,PL62,Age10_14,AZ,37958138
2020-W52,PL,221340,,,0,,0,0,0,PL22,Age10_14,AZ,37958138
2020-W52,PL,132055,,,0,,0,0,0,PL63,Age10_14,AZ,37958138
2020-W52,PL,194327,,,0,,0,0,0,PL41,Age10_14,MOD,37958138
2020-W52,PL,59929,,,0,,0,0,0,PL72,Age10_14,COM,37958138
2020-W52,PL,58269,,,0,,0,0,0,PL84,Age10_14,JANSS,37958138
2020-W52,PL,44821,,,0,,0,0,0,PL52,Age10_14,MOD,37958138
2020-W52,PL,86644,,,0,,0,0,0,PL42,Age10_14,AZ,37958138
2020-W52,PL,58269,,,0,,0,0,0,PL84,Age10_14,COM,37958138
2020-W52,PL,86644,,,0,,0,0,0,PL42,Age10_14,JANSS,37958138
2020-W52,PL,76810,,,0,,0,0,0,PL62,Age10_14,COM,37958138
2020-W52,PL,108485,,,0,,0,0,0,PL81,Age10_14,MOD,37958138
2020-W52,PL,76810,,,0,,0,0,0,PL62,Age10_14,MOD,37958138
2020-W52,PL,181411,,,0,,0,0,0,PL21,Age10_14,JANSS,37958138
2020-W52,PL,86644,,,0,,0,0,0,PL42,Age10_14,MOD,37958138
2020-W52,PL,143481,,,0,,0,0,0,PL51,Age10_14,MOD,37958138
2020-W52,PL,121363,,,0,,0,0,0,PL71,Age10_14,COM,37958138
2020-W52,PL,181411,,,0,,0,0,0,PL21,Age10_14,COM,37958138
2020-W52,PL,54672,,,0,,0,0,0,PL43,Age10_14,MOD,37958138
2020-W52,PL,59929,,,0,,0,0,0,PL72,Age10_14,JANSS,37958138
2020-W52,PL,110295,,,0,,0,0,0,PL82,Age10_14,JANSS,37958138
2020-W52,PL,58269,,,0,,0,0,0,PL84,Age10_14,AZ,37958138
2020-W52,PL,194327,,,0,,0,0,0,PL41,Age10_14,AZ,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age10_14,AZ,37958138
2020-W52,PL,181411,,,0,,0,0,0,PL21,Age10_14,MOD,37958138
2020-W52,PL,1998280,,,0,,0,0,0,PL,Age10_14,AZ,37958138
2020-W52,PL,110501,,,0,,0,0,0,PL61,Age10_14,COM,37958138
2020-W52,PL,59929,,,0,,0,0,0,PL72,Age10_14,AZ,37958138
2020-W52,PL,54672,,,0,,0,0,0,PL43,Age10_14,JANSS,37958138
2020-W52,PL,54672,,,0,,0,0,0,PL43,Age10_14,COM,37958138
2020-W52,PL,59929,,,0,,0,0,0,PL72,Age10_14,MOD,37958138
2020-W52,PL,1998280,,,0,,0,0,0,PL,Age10_14,JANSS,37958138
2020-W52,PL,110295,,,0,,0,0,0,PL82,Age10_14,MOD,37958138
2020-W52,PL,221340,,,0,,0,0,0,PL22,Age10_14,MOD,37958138
2020-W52,PL,108485,,,0,,0,0,0,PL81,Age10_14,JANSS,37958138
2020-W52,PL,143481,,,0,,0,0,0,PL51,Age10_14,COM,37958138
2020-W52,PL,108485,,,0,,0,0,0,PL81,Age10_14,AZ,37958138
2020-W52,PL,58269,,,0,,0,0,0,PL84,Age10_14,MOD,37958138
2020-W52,PL,132055,,,0,,0,0,0,PL63,Age10_14,MOD,37958138
2020-W52,PL,110295,,,0,,0,0,0,PL82,Age10_14,AZ,37958138
2020-W52,PL,110295,,,0,,0,0,0,PL82,Age10_14,COM,37958138
2020-W52,PL,110501,,,0,,0,0,0,PL61,Age10_14,JANSS,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age10_14,JANSS,37958138
2020-W52,PL,86644,,,0,,0,0,0,PL42,Age10_14,COM,37958138
2020-W52,PL,108485,,,0,,0,0,0,PL81,Age10_14,COM,37958138
2020-W52,PL,132055,,,0,,0,0,0,PL63,Age10_14,JANSS,37958138
2020-W52,PL,194327,,,0,,0,0,0,PL41,Age10_14,COM,37958138
2020-W52,PL,194327,,,0,,0,0,0,PL41,Age10_14,JANSS,37958138
2020-W52,PL,121363,,,0,,0,0,0,PL71,Age10_14,AZ,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age10_14,MOD,37958138
2020-W52,PL,76810,,,0,,0,0,0,PL62,Age10_14,JANSS,37958138
2020-W52,PL,54672,,,0,,0,0,0,PL43,Age10_14,AZ,37958138
2020-W52,PL,143481,,,0,,0,0,0,PL51,Age10_14,AZ,37958138
2020-W52,PL,1998280,,,0,,0,0,0,PL,Age10_14,MOD,37958138
2020-W52,PL,181411,,,0,,0,0,0,PL21,Age10_14,AZ,37958138
2020-W52,PL,121363,,,0,,0,0,0,PL71,Age10_14,JANSS,37958138
2020-W52,PL,143481,,,0,,0,0,0,PL51,Age10_14,JANSS,37958138
2020-W52,PL,221340,,,0,,0,0,0,PL22,Age10_14,COM,37958138
2020-W52,PL,44821,,,0,,0,0,0,PL52,Age10_14,AZ,37958138
2020-W52,PL,110501,,,0,,0,0,0,PL61,Age10_14,AZ,37958138
2020-W52,PL,62501,,,0,,0,0,0,PL82,Age15_17,COM,37958138
2020-W52,PL,58767,,,0,,0,0,0,PL61,Age15_17,COM,37958138
2020-W52,PL,1051166,,,0,,0,0,0,PL,Age15_17,AZ,37958138
2020-W52,PL,99966,,,0,,0,0,0,PL41,Age15_17,COM,37958138
2020-W52,PL,32231,,,0,,0,0,0,PL84,Age15_17,AZ,37958138
2020-W52,PL,45572,,,0,,0,0,0,PL42,Age15_17,MOD,37958138
2020-W52,PL,33408,,,0,,0,0,0,PL72,Age15_17,COM,37958138
2020-W52,PL,1051166,,,0,,0,0,0,PL,Age15_17,JANSS,37958138
2020-W52,PL,41292,,,0,,0,0,0,PL62,Age15_17,JANSS,37958138
2020-W52,PL,45572,,,0,,0,0,0,PL42,Age15_17,COM,37958138
2020-W52,PL,97831,,,0,,0,0,0,PL21,Age15_17,AZ,37958138
2020-W52,PL,62501,,,0,,0,0,0,PL82,Age15_17,AZ,37958138
2020-W52,PL,32231,,,0,,0,0,0,PL84,Age15_17,MOD,37958138
2020-W52,PL,59906,,,0,,0,0,0,PL81,Age15_17,JANSS,37958138
2020-W52,PL,64469,,,0,,0,0,0,PL71,Age15_17,JANSS,37958138
2020-W52,PL,97831,,,0,,0,0,0,PL21,Age15_17,COM,37958138
2020-W52,PL,59906,,,0,,0,0,0,PL81,Age15_17,MOD,37958138
2020-W52,PL,72016,,,0,,0,0,0,PL51,Age15_17,MOD,37958138
